flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-29,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '10', 'delay': 9, 'scheduled': '2023-11-29T01:20:00+00:00', 'estimated': '2023-11-29T01:20:00+00:00', 'actual': '2023-11-29T01:29:00+00:00', 'estimated_runway': '2023-11-29T01:29:00+00:00', 'actual_runway': '2023-11-29T01:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 17, 'scheduled': '2023-11-29T06:45:00+00:00', 'estimated': '2023-11-29T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Lufthansa', 'iata': 'LH', 'icao': 'DLH'}","{'number': '9753', 'iata': 'LH9753', 'icao': 'DLH9753', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '282', 'flight_iata': 'sq282', 'flight_icao': 'sia282'}}",,
2023-11-29,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '10', 'delay': 9, 'scheduled': '2023-11-29T01:20:00+00:00', 'estimated': '2023-11-29T01:20:00+00:00', 'actual': '2023-11-29T01:29:00+00:00', 'estimated_runway': '2023-11-29T01:29:00+00:00', 'actual_runway': '2023-11-29T01:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 17, 'scheduled': '2023-11-29T06:45:00+00:00', 'estimated': '2023-11-29T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SWISS', 'iata': 'LX', 'icao': 'SWR'}","{'number': '9003', 'iata': 'LX9003', 'icao': 'SWR9003', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '282', 'flight_iata': 'sq282', 'flight_icao': 'sia282'}}",,
2023-11-29,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '10', 'delay': 9, 'scheduled': '2023-11-29T01:20:00+00:00', 'estimated': '2023-11-29T01:20:00+00:00', 'actual': '2023-11-29T01:29:00+00:00', 'estimated_runway': '2023-11-29T01:29:00+00:00', 'actual_runway': '2023-11-29T01:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 17, 'scheduled': '2023-11-29T06:45:00+00:00', 'estimated': '2023-11-29T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '3282', 'iata': 'NZ3282', 'icao': 'ANZ3282', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '282', 'flight_iata': 'sq282', 'flight_icao': 'sia282'}}",,
2023-11-29,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '10', 'delay': 9, 'scheduled': '2023-11-29T01:20:00+00:00', 'estimated': '2023-11-29T01:20:00+00:00', 'actual': '2023-11-29T01:29:00+00:00', 'estimated_runway': '2023-11-29T01:29:00+00:00', 'actual_runway': '2023-11-29T01:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 17, 'scheduled': '2023-11-29T06:45:00+00:00', 'estimated': '2023-11-29T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Vistara', 'iata': 'UK', 'icao': 'VTI'}","{'number': '8282', 'iata': 'UK8282', 'icao': 'VTI8282', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '282', 'flight_iata': 'sq282', 'flight_icao': 'sia282'}}",,
2023-11-29,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '10', 'delay': 9, 'scheduled': '2023-11-29T01:20:00+00:00', 'estimated': '2023-11-29T01:20:00+00:00', 'actual': '2023-11-29T01:29:00+00:00', 'estimated_runway': '2023-11-29T01:29:00+00:00', 'actual_runway': '2023-11-29T01:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 17, 'scheduled': '2023-11-29T06:45:00+00:00', 'estimated': '2023-11-29T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Singapore Airlines', 'iata': 'SQ', 'icao': 'SIA'}","{'number': '282', 'iata': 'SQ282', 'icao': 'SIA282', 'codeshared': None}","{'registration': '9V-SMI', 'iata': 'A359', 'icao': 'A359', 'icao24': '76CDA9'}","{'updated': '2023-11-28T19:10:28+00:00', 'latitude': -12.6588, 'longitude': 129.949, 'altitude': 12192, 'direction': 308, 'speed_horizontal': 872.292, 'speed_vertical': 0, 'is_ground': False}"
2023-11-29,active,"{'airport': 'Soekarno-Hatta International', 'timezone': 'Asia/Jakarta', 'iata': 'CGK', 'icao': 'WIII', 'terminal': '3', 'gate': '16', 'delay': 8, 'scheduled': '2023-11-29T01:10:00+00:00', 'estimated': '2023-11-29T01:10:00+00:00', 'actual': '2023-11-29T01:18:00+00:00', 'estimated_runway': '2023-11-29T01:18:00+00:00', 'actual_runway': '2023-11-29T01:18:00+00:00'}","{'airport': 'Hasanudin', 'timezone': 'Asia/Makassar', 'iata': 'UPG', 'icao': 'WAAA', 'terminal': 'D', 'gate': None, 'baggage': '2', 'delay': None, 'scheduled': '2023-11-29T04:35:00+00:00', 'estimated': '2023-11-29T04:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Citilink', 'iata': 'QG', 'icao': 'CTV'}","{'number': '346', 'iata': 'QG346', 'icao': 'CTV346', 'codeshared': None}",,
2023-11-29,active,"{'airport': 'Omsk', 'timezone': 'Asia/Omsk', 'iata': 'OMS', 'icao': 'UNOO', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-29T00:40:00+00:00', 'estimated': '2023-11-29T00:40:00+00:00', 'actual': '2023-11-29T00:29:00+00:00', 'estimated_runway': '2023-11-29T00:29:00+00:00', 'actual_runway': '2023-11-29T00:29:00+00:00'}","{'airport': 'Nursultan Nazarbayev International Airport', 'timezone': None, 'iata': 'NQZ', 'icao': 'UACC', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 4, 'scheduled': '2023-11-29T01:30:00+00:00', 'estimated': '2023-11-29T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qazaq Air', 'iata': 'IQ', 'icao': 'QAZ'}","{'number': '5015', 'iata': 'IQ5015', 'icao': 'QAZ5015', 'codeshared': None}",,
2023-11-29,active,"{'airport': 'Haneda Airport', 'timezone': 'Asia/Tokyo', 'iata': 'HND', 'icao': 'RJTT', 'terminal': '3', 'gate': '146', 'delay': 7, 'scheduled': '2023-11-29T02:15:00+00:00', 'estimated': '2023-11-29T02:15:00+00:00', 'actual': '2023-11-29T02:22:00+00:00', 'estimated_runway': '2023-11-29T02:22:00+00:00', 'actual_runway': '2023-11-29T02:22:00+00:00'}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': '2', 'gate': None, 'baggage': '25', 'delay': None, 'scheduled': '2023-11-29T04:45:00+00:00', 'estimated': '2023-11-29T04:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Juneyao Airlines', 'iata': 'HO', 'icao': 'DKH'}","{'number': '1386', 'iata': 'HO1386', 'icao': 'DKH1386', 'codeshared': None}",,
2023-11-29,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'B8', 'delay': 19, 'scheduled': '2023-11-29T02:00:00+00:00', 'estimated': '2023-11-29T02:00:00+00:00', 'actual': '2023-11-29T02:18:00+00:00', 'estimated_runway': '2023-11-29T02:18:00+00:00', 'actual_runway': '2023-11-29T02:18:00+00:00'}","{'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)', 'timezone': 'Asia/Taipei', 'iata': 'TPE', 'icao': 'RCTP', 'terminal': '1', 'gate': 'A6', 'baggage': '3B', 'delay': None, 'scheduled': '2023-11-29T06:40:00+00:00', 'estimated': '2023-11-29T06:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Garuda Indonesia', 'iata': 'GA', 'icao': 'GIA'}","{'number': '9995', 'iata': 'GA9995', 'icao': 'GIA9995', 'codeshared': {'airline_name': 'china airlines', 'airline_iata': 'ci', 'airline_icao': 'cal', 'flight_number': '756', 'flight_iata': 'ci756', 'flight_icao': 'cal756'}}",,
2023-11-29,active,"{'airport': 'Sydney Bankstown', 'timezone': 'Australia/Sydney', 'iata': 'BWU', 'icao': 'YSBK', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-29T06:00:00+00:00', 'estimated': '2023-11-29T06:00:00+00:00', 'actual': '2023-11-29T05:48:00+00:00', 'estimated_runway': '2023-11-29T05:48:00+00:00', 'actual_runway': '2023-11-29T05:48:00+00:00'}","{'airport': 'Essendon', 'timezone': 'Australia/Melbourne', 'iata': 'MEB', 'icao': 'YMEN', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-29T07:13:00+00:00', 'estimated': '2023-11-29T07:13:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Mandarin Airlines', 'iata': 'AE', 'icao': 'MDA'}","{'number': '212', 'iata': 'AE212', 'icao': 'MDA212', 'codeshared': None}",,
